Comment,Designator,Footprint,LCSC,Quantity
100n,"C11,C12,C3,C4,C6,C7,C8,C9",C_0402_1005Metric,C307331,8
10u,"C10,C16,C17,C2,C5",C_0805_2012Metric,C15850,5
1k5,R12,R_0402_1005Metric,C114759,1
1u,"C1,C13,C14",C_0805_2012Metric,C28323,3
2.2uH,L1,L_6.3x6.3_H3,C2849520,1
220pF/3kV Y,"C15,C18",C_1812_4532Metric,C2940747,2
4k7,R9,R_0402_1005Metric,C105870,1
5k1,"R3,R4",R_0402_1005Metric,C105872,2
HRO-TYPE-C-31-M-12,USB1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,1
Interface_USB_CP2102N-A01-GQFN28,U6,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,C964632,1
LM1117DT-5.0,U9,SOT-223-3_TabPin2,C41202,1
MAX22246,"U12,U13",MAX22246,C7457939,2
"Polyfuse 1,8A",F1,Fuse_1206_3216Metric,C70081,1
SN75155,"U7,U8",SO-8_3.9x4.9mm_P1.27mm,C139383,2
USBLC6-2SC6,U3,SOT-23-6,C7519,1
PEME2-5-D12-D,U11,Converter_DCDC_CUI_INC_PEME2-xx-Dxx-D,,1
LED,D1,LED_D3.0mm_Horizontal_O3.81mm_Z10.0mm,,1
MountingHole,H2,MountingHole_3.2mm_M3,,1
DB25_Plug,J2,DSUB-25_Male_EdgeMount_P2.77mm,,1
TDR2-1222WI,U10,Converter_DCDC_TRACO_TDR2-xxxxWI,,1
MountingHole,H1,MountingHole_3.2mm_M3,,1
